task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ca/b5289d	3822446	NFCORE_MAG:MAG:BIN_QC:BUSCO_UNTAR (bacteria_odb10.2024-01-08.tar.gz)	COMPLETED	0	2026-07-19 12:24:01.972	1.4s	469ms	91.2%	12.9 MB	23.3 MB	64 MB	77.7 MB
10	2e/173413	3822419	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_AL_7_06_12_run0)	COMPLETED	0	2026-07-19 12:24:01.944	1m 52s	1m 51s	726.3%	1.3 GB	1.9 GB	2.4 GB	2.1 GB
23	f3/7404db	3830844	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz)	COMPLETED	0	2026-07-19 12:25:56.023	20.6s	16s	4.2%	26.1 MB	106.4 MB	2.6 MB	8 MB
17	43/f7b6f1	3822426	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_IF_6_05_12_run0)	COMPLETED	0	2026-07-19 12:24:01.956	2m 19s	2m 18s	742.1%	1.3 GB	1.9 GB	3 GB	2.5 GB
8	a9/277ff7	3822435	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_AL_6_05_22_run0)	COMPLETED	0	2026-07-19 12:24:01.964	2m 24s	2m 23s	761.4%	1.3 GB	1.9 GB	3.3 GB	2.8 GB
20	e3/4c4570	3833484	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_IF_7_06_12_run0)	COMPLETED	0	2026-07-19 12:26:21.090	2m 8s	2m 8s	724.3%	1.3 GB	1.9 GB	3 GB	2.6 GB
7	29/4b45d2	3830647	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_AL_6_05_12_run0_raw)	COMPLETED	0	2026-07-19 12:25:54.006	3m 31s	3m 29s	179.0%	6.6 GB	40.4 GB	3 GB	4 MB
16	43/101e2e	3834214	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_IF_6_05_12_run0_raw)	COMPLETED	0	2026-07-19 12:26:25.993	3m 6s	3m 6s	200.8%	7.9 GB	40.7 GB	3 GB	4 MB
19	a7/9ef379	3841061	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_IF_6_05_22_run0)	COMPLETED	0	2026-07-19 12:28:29.393	2m 13s	2m 12s	743.4%	1.3 GB	2 GB	3.1 GB	2.7 GB
14	0b/d789b7	3844993	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_IF_4_03_11_run0_raw)	COMPLETED	0	2026-07-19 12:29:32.376	2m 19s	2m 19s	191.5%	7.5 GB	40.7 GB	2.1 GB	4 MB
