ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0006119,oxidative phosphorylation,127,0.8386223630923618,3.0863523567892894,1e-10,8.994117647058823e-9,6.875128998968009e-9,1330,"tags=71%, list=10%, signal=64%",Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufb10/Ndufv3/Dnajc15/Ndufa2/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Atp5me/Mlxipl/Uqcrb/Ndufc2/Slc25a33/Cox7a2/Atp5pb/Coq7/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb5/Ndufb9/Ndufs7/Atp5mf/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Ndufb11/Uqcc3/Cyc1/Ndufs2/Ppif/Ndufa11/Pink1/Ndufb2/Uqcc2/Sdhc/Cox6a1/Cycs/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Mtch2/Fxn/Dnajc30/Atp5po/Coq9/Ndufaf1/Sirt3/Slc25a23/Etfrf1/Sdha/Cox6a2/Ak4
GO:0015986,proton motive force-driven ATP synthesis,61,0.8897139428249706,2.9525889060314254,1e-10,8.994117647058823e-9,6.875128998968009e-9,1008,"tags=87%, list=8%, signal=81%",Ndufab1/Ndufa7/Ndufa3/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufb10/Ndufv3/Ndufa2/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb5/Ndufb9/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Ndufa11/Ndufb2/Sdhc/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Dnajc30/Atp5po/Atp5mc1
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,57,0.8900590042335491,2.9120460662666128,1e-10,8.994117647058823e-9,6.875128998968009e-9,964,"tags=86%, list=7%, signal=80%",Ndufab1/Ndufa7/Ndufa3/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufb10/Ndufv3/Ndufa2/Ndufs3/Atp5me/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb5/Ndufb9/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Ndufb11/Ndufs2/Ndufa11/Ndufb2/Sdhc/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Dnajc30/Atp5po
GO:0006754,ATP biosynthetic process,88,0.8255891607320074,2.8868992579703154,1e-10,8.994117647058823e-9,6.875128998968009e-9,1008,"tags=64%, list=8%, signal=59%",Ndufab1/Ndufa7/Ndufa3/Ldhd/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufb10/Ndufv3/Ndufa2/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb5/Ndufb9/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Atp5mc2/Ndufb11/Uqcc3/Ndufs2/Ndufa11/Ndufb2/Sdhc/Cox11/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Dnajc30/Atp5po/Atp5mc1
GO:0022904,respiratory electron transport chain,80,0.8317171988746725,2.8751113983123453,1e-10,8.994117647058823e-9,6.875128998968009e-9,772,"tags=66%, list=6%, signal=63%",Etfb/Cox8b/Ndufa7/Uqcrh/Cox4i1/Cox7a1/Uqcr11/Cox5a/Cox7c/Ndufs6/Ndufa5/Ndufs4/Ndufb8/Uqcr10/Ndufv3/Dnajc15/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Coq7/Ndufv2/Uqcrq/Etfa/Ndufb9/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Uqcc3/Cyc1/Ndufs2/Ndufa11/Pink1/Immp2l/Sdhc/Cox6a1/Cycs/Pm20d1/Ndufv1/Sdhb/Ndufs8/Mtch2
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,98,0.8103636972622181,2.868072386767606,1e-10,8.994117647058823e-9,6.875128998968009e-9,1008,"tags=58%, list=8%, signal=54%",Ndufab1/Ndufa7/Ndufa3/Ldhd/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufb10/Ndufv3/Ndufa2/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb5/Ndufb9/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Atp5mc2/Ndufb11/Uqcc3/Ndufs2/Ndufa11/Ndufb2/Sdhc/Cox11/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Nme3/Dnajc30/Atp5po/Atp5mc1
GO:0009145,purine nucleoside triphosphate biosynthetic process,99,0.8089389346735094,2.8597804529036908,1e-10,8.994117647058823e-9,6.875128998968009e-9,1008,"tags=58%, list=8%, signal=54%",Ndufab1/Ndufa7/Ndufa3/Ldhd/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufb10/Ndufv3/Ndufa2/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb5/Ndufb9/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Atp5mc2/Ndufb11/Uqcc3/Ndufs2/Ndufa11/Ndufb2/Sdhc/Cox11/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Nme3/Dnajc30/Atp5po/Atp5mc1
GO:0022900,electron transport chain,87,0.8177540013625704,2.856915681013536,1e-10,8.994117647058823e-9,6.875128998968009e-9,772,"tags=64%, list=6%, signal=61%",Etfb/Cox8b/Ndufa7/Uqcrh/Cox4i1/Fdx1/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa5/Ndufs4/Ndufb8/Uqcr10/Ndufv3/Dnajc15/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Coq7/Ndufv2/Uqcrq/Etfa/Ndufb9/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Uqcc3/Cyc1/Ndufs2/Ndufa11/Pink1/Fdx2/Immp2l/Sdhc/Cox6a1/Cycs/Pm20d1/Ndufv1/Sdhb/Ndufs8/Mtch2
GO:0042773,ATP synthesis coupled electron transport,62,0.8568192374904527,2.8496020845012278,1e-10,8.994117647058823e-9,6.875128998968009e-9,1022,"tags=77%, list=8%, signal=72%",Cox8b/Ndufa7/Uqcrh/Cox4i1/Cox7a1/Uqcr11/Cox5a/Cox7c/Ndufs6/Ndufb8/Uqcr10/Ndufv3/Dnajc15/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Coq7/Ndufv2/Uqcrq/Ndufb9/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Uqcc3/Cyc1/Ndufs2/Ndufa11/Pink1/Sdhc/Cox6a1/Cycs/Ndufv1/Sdhb/Ndufs8/Mtch2/Coq9/Ndufaf1
GO:0042775,mitochondrial ATP synthesis coupled electron transport,62,0.8568192374904527,2.8496020845012278,1e-10,8.994117647058823e-9,6.875128998968009e-9,1022,"tags=77%, list=8%, signal=72%",Cox8b/Ndufa7/Uqcrh/Cox4i1/Cox7a1/Uqcr11/Cox5a/Cox7c/Ndufs6/Ndufb8/Uqcr10/Ndufv3/Dnajc15/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Coq7/Ndufv2/Uqcrq/Ndufb9/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Uqcc3/Cyc1/Ndufs2/Ndufa11/Pink1/Sdhc/Cox6a1/Cycs/Ndufv1/Sdhb/Ndufs8/Mtch2/Coq9/Ndufaf1
GO:0009201,ribonucleoside triphosphate biosynthetic process,103,0.7917163570860161,2.819033988623788,1e-10,8.994117647058823e-9,6.875128998968009e-9,1008,"tags=55%, list=8%, signal=52%",Ndufab1/Ndufa7/Ndufa3/Ldhd/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufb10/Ndufv3/Ndufa2/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb5/Ndufb9/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Atp5mc2/Ndufb11/Uqcc3/Ndufs2/Ndufa11/Ndufb2/Sdhc/Cox11/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Nme3/Dnajc30/Atp5po/Atp5mc1
GO:0009142,nucleoside triphosphate biosynthetic process,110,0.7775324656261835,2.8041411337741717,1e-10,8.994117647058823e-9,6.875128998968009e-9,1008,"tags=52%, list=8%, signal=48%",Ndufab1/Ndufa7/Ndufa3/Ldhd/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufb10/Ndufv3/Ndufa2/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb5/Ndufb9/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Atp5mc2/Ndufb11/Uqcc3/Ndufs2/Ndufa11/Ndufb2/Sdhc/Cox11/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Nme3/Dnajc30/Atp5po/Atp5mc1
